game,% Gap in A-n32-k05,% Gap in A-n36-k05,% Gap in A-n44-k06,% Gap in A-n60-k09,% Gap in A-n69-k09,Avg % Gap
PrisonersDilemma,0.0707467166666609,0.0539980496902328,0.07790164833983172,0.1317405235103563,0.15069127690918946,0.10358287461240258
HawkDove,0.09778040456934221,0.06915783054916781,0.08665425833480982,0.12326150195668138,0.13701762480609533,0.10402280391168858
StagHunt,0.06291229744610709,0.061942758820760786,0.062461167975330606,0.1454362830922362,0.18319621599540753,0.11325910647093378
Harmonic,0.07020671958138057,0.06826095202158375,0.07663605932661524,0.13725721607986147,0.16994241932693344,0.11302416168874847
